20758 580 258 697 5008 3104 1694 15 14 72 51 63 277 610 832 1001 1957 375 423 542
30941 629 315 694 6507 3484 2016 13 17 66 74 74 462 803 1194 1404 2508 443 579 657
20517 552 333 699 5287 1978 1240 7 9 32 46 48 270 593 722 900 1467 317 348 475
16975 606 263 979 6605 1730 1104 16 8 42 28 76 217 499 751 777 1269 206 279 525
19535 515 294 792 6045 2105 1218 10 4 28 28 44 229 472 715 716 1247 202 279 413
18500 395 255 916 5312 2035 1143 9 12 42 33 33 249 480 651 631 1284 258 327 462
20148 485 218 845 4908 2038 1352 11 12 42 30 60 245 468 666 682 1317 293 322 400
20961 543 263 741 5587 2134 1441 11 13 31 65 50 265 523 731 860 1500 258 361 509
26386 511 278 600 5857 2330 1642 7 19 53 57 65 330 542 922 968 1710 320 355 517
22812 614 376 777 6556 1703 1664 4 9 35 45 59 273 584 820 1001 1563 254 319 567
19687 524 292 833 5712 1577 1421 7 20 44 33 42 241 495 607 707 1249 199 283 428
20473 470 218 708 4676 1676 1463 7 11 45 40 48 208 341 609 667 1289 272 274 482
20540 433 194 675 4924 1801 1441 10 13 44 49 81 178 420 597 676 1387 249 303 490
22358 362 211 593 4412 1981 1719 7 8 38 39 65 250 427 733 843 1667 271 329 478
25086 547 284 769 5911 2438 2094 16 14 51 61 58 321 610 836 1076 2078 384 449 642
25957 520 303 649 5636 2403 2038 21 13 47 80 58 360 562 805 1149 1833 392 467 675
22406 498 283 674 4910 1965 1700 5 6 47 59 41 294 423 717 895 1423 352 346 586
20411 480 235 617 5290 1505 1365 3 10 26 49 41 208 447 489 742 1301 252 282 551
19513 418 243 675 5214 1683 1095 21 4 43 28 37 190 396 495 602 1177 233 259 487
18512 372 202 576 5002 1705 1204 11 10 41 39 37 158 466 595 547 1211 218 257 480
20040 448 158 664 5129 1999 1434 5 6 26 30 36 232 437 617 707 1295 307 312 473
21325 494 258 1181 5848 2629 1932 17 14 43 49 61 256 669 845 1064 1588 339 374 556
22476 612 307 792 6289 2319 1874 7 17 66 53 67 344 579 977 1206 1601 367 447 673
21498 652 347 775 7223 2007 1972 1 20 66 46 68 322 652 905 1241 1519 299 334 654
18231 534 230 780 6036 1904 1527 6 16 48 30 50 253 576 745 901 1247 282 323 555
18018 471 211 807 5117 1708 1361 14 11 40 38 60 229 479 643 788 1228 216 278 524
17268 434 233 797 4437 1994 1633 9 16 36 47 46 238 454 697 823 1253 258 320 573
16657 477 272 836 4866 2036 1635 7 11 37 49 48 233 389 619 896 1362 298 329 517
18624 477 239 768 5256 2080 1896 7 11 53 57 65 294 467 771 1083 1555 342 393 568
19104 527 311 644 5557 2103 1988 18 9 35 52 64 313 546 814 1294 1557 313 370 623
18670 706 316 764 7139 1811 2053 5 19 70 48 77 313 592 885 1114 1287 261 336 727
16057 617 238 766 6280 1775 1579 10 20 46 37 66 243 504 755 843 1284 266 277 479
16717 489 184 739 5037 2113 1540 5 9 38 36 63 234 622 740 788 1259 243 280 469
16787 428 247 814 5110 2045 1636 3 27 46 46 49 189 563 747 843 1333 277 298 496
19556 462 229 909 4969 2439 1653 11 4 51 53 54 242 595 752 832 1486 381 410 553
22935 513 249 720 5728 2658 1879 13 9 63 65 80 324 860 940 1151 1770 407 468 663
25801 525 269 714 5996 2948 2048 10 13 62 77 81 382 623 876 1343 1971 475 531 777
21805 568 290 728 6306 2055 1637 21 17 47 65 87 318 592 914 1129 1424 365 394 600
18660 510 226 778 5449 1709 1204 9 4 34 43 35 229 423 579 795 1160 234 265 497
19943 491 258 817 5570 1867 1284 3 20 32 32 56 285 478 619 772 1070 238 309 516
20381 388 206 745 4370 1978 1150 7 16 26 37 44 233 424 519 711 1111 230 264 503
20305 409 214 778 4656 2430 1278 11 4 36 41 43 228 628 644 832 1438 253 328 475
21685 485 243 743 5224 2757 1568 13 7 46 43 43 241 583 651 1097 1462 315 367 633
23583 504 252 567 5579 2556 1612 13 22 38 37 51 361 634 736 1242 2048 307 420 684
21561 616 311 751 6094 1873 1724 13 13 42 41 57 289 626 809 1144 1733 256 352 662
19784 420 242 622 4876 1773 1611 10 14 26 36 48 218 419 676 800 1850 204 271 539
19352 421 229 724 5181 1944 1548 9 11 36 39 55 218 406 611 770 1764 192 302 528
19921 389 200 571 4351 1816 1578 4 13 30 32 45 207 531 604 760 1715 249 277 554
21510 499 207 804 4845 2077 1688 11 6 42 35 52 261 370 638 796 1869 300 331 536
24599 477 273 660 5296 2156 2055 6 13 33 35 64 298 518 746 1016 2568 417 391 626
25559 508 280 593 6348 2075 2056 6 9 39 55 54 338 488 834 1136 1675 360 424 673
22813 605 332 1160 6483 1994 1918 13 12 40 49 66 331 717 874 1214 1430 420 406 711
21397 468 228 835 5679 2128 1765 9 12 36 48 42 243 407 624 941 1717 430 372 686
27683 487 305 969 5891 3160 2379 16 14 48 117 63 329 494 790 1180 2477 787 631 800
22068 400 232 686 4060 1976 1750 9 15 18 65 46 263 302 585 854 1562 525 486 557
17877 415 268 758 4455 1604 1310 13 6 30 38 42 241 313 591 881 1110 230 293 582
19834 572 335 837 5759 1917 1703 7 12 32 64 73 291 510 864 1080 1284 336 373 579
20772 494 284 634 5283 1746 1619 15 13 52 57 73 339 507 776 1192 1384 345 443 664
21550 663 352 769 6591 1603 1690 3 13 54 46 67 315 610 883 1184 1336 244 395 705
18921 586 258 780 6319 1524 1451 13 12 35 36 54 236 390 683 966 1242 232 335 589
20051 438 254 906 4740 1680 1258 9 8 34 42 61 270 473 688 820 1195 219 284 579
18783 471 274 807 5609 1712 1348 9 14 20 49 97 242 492 739 877 1191 290 334 538
19382 551 255 788 5448 1907 1390 9 20 44 42 61 242 469 742 950 1298 292 375 520
21361 527 284 805 5551 2343 1711 12 20 39 64 50 318 670 770 1193 1535 329 429 677
22436 587 296 735 6389 2069 1660 20 17 44 51 84 363 613 844 1370 1557 355 455 766
21258 688 338 991 6984 1900 1473 12 12 35 43 72 357 633 992 1397 1416 304 371 720
20800 480 204 931 5689 1712 1132 11 10 42 39 54 254 417 586 937 1227 209 326 580
34130 409 216 814 4816 1568 1100 5 9 21 29 50 227 341 530 792 1156 217 283 539
19349 409 177 693 4481 1644 1108 7 6 24 49 54 224 316 554 756 1244 221 341 570
20146 432 208 786 5072 1785 1315 13 5 47 41 49 272 429 690 870 1385 258 340 536
23701 558 259 761 5485 2005 1528 13 13 50 44 60 330 472 767 1159 1546 336 438 661
24468 510 250 655 5821 1967 1645 10 12 45 56 78 351 675 875 1269 1611 334 364 658
24154 609 369 684 6368 1529 1488 11 21 54 51 67 331 575 935 1238 1397 264 401 702
20102 462 241 601 5165 1400 1129 12 16 37 27 58 259 454 631 841 1302 233 320 520
21217 409 231 640 4897 1364 1232 13 7 22 37 62 216 509 537 757 1198 230 295 512
20373 387 209 611 4470 1576 1244 12 17 42 33 60 226 457 603 723 1306 235 284 518
20715 378 229 679 4324 1979 1509 11 8 45 39 40 239 632 692 845 1424 275 377 545
23299 434 312 765 5237 1966 1705 16 12 56 44 62 332 609 724 1038 1638 326 398 671
26413 560 246 711 5846 1857 1804 10 16 43 56 78 345 727 871 1172 1553 371 429 680
24178 618 326 689 6733 1512 1653 7 15 40 59 81 301 770 920 1181 1442 292 403 668
21793 495 205 741 5204 1325 1361 7 16 51 35 59 259 630 694 822 1278 214 257 546
22558 414 210 622 5093 1334 1466 12 7 28 26 58 205 699 715 752 1350 214 285 531
21643 514 234 1368 5820 1726 1538 14 9 45 51 81 301 701 801 1012 1468 257 338 600
22536 492 206 890 5554 1588 1549 11 14 42 40 80 246 579 721 937 1547 298 344 561
23033 530 301 833 5643 1986 1943 14 5 35 48 71 314 693 817 1140 1783 316 390 689
26210 592 281 669 6144 2026 2085 17 13 53 44 70 317 767 917 1277 1704 329 415 753
24812 673 328 803 6979 1846 2053 9 6 54 41 84 388 758 1044 1360 1379 289 354 725
21368 478 275 814 5248 1638 1747 10 12 42 41 65 318 539 779 884 1357 221 368 567
20080 469 233 774 5114 1804 1704 6 13 43 26 74 324 473 712 764 1260 257 316 530
20515 402 240 771 4950 1914 1588 6 11 57 30 46 281 496 816 880 1318 260 372 535
21019 482 257 788 5032 2007 1777 16 8 32 46 74 284 500 810 854 1465 293 367 580
23307 523 282 752 5671 2641 2180 16 19 70 51 92 407 584 822 1187 1703 367 470 659
24494 573 327 715 6406 2061 2258 11 15 88 52 85 441 653 987 1232 1714 308 455 793
24732 616 266 756 6536 1922 1854 6 13 51 39 68 355 664 1112 1179 1486 291 383 730
18025 518 280 731 5446 1720 1439 13 11 32 19 37 258 510 747 881 1273 191 318 599
17431 468 261 947 5737 1849 1415 11 11 42 42 60 291 435 771 797 1202 199 309 542
21329 451 222 805 5141 1988 1345 15 15 47 37 85 301 453 809 852 1363 278 330 556
20972 432 270 745 4926 2256 1400 13 12 42 32 80 323 536 821 842 1409 279 345 506
23507 568 236 712 5543 2370 1675 17 10 39 48 94 311 553 971 1037 1710 297 420 699
26583 534 346 703 6190 2633 1946 11 23 42 43 65 356 660 1045 1360 1846 346 440 732
28049 651 296 698 7086 2237 1922 4 24 59 39 76 403 681 1054 1343 1604 270 359 785
23215 450 264 881 5320 1743 1366 9 16 56 25 69 261 498 767 921 1306 233 323 570
22167 394 209 784 4793 1830 1327 7 16 42 24 58 239 507 743 821 1200 184 333 534
20883 504 225 698 5179 2159 1576 12 21 38 41 69 293 454 678 849 1271 252 346 540
20174 501 244 638 5029 2075 1672 6 26 36 27 61 253 420 698 840 1443 257 345 534
23433 463 261 739 5240 2542 1996 11 17 60 36 61 304 632 968 1128 1727 311 450 681
29712 508 297 684 5828 2294 2052 12 12 64 53 59 382 704 1018 1285 1828 324 451 775
26498 624 325 706 6664 1921 2070 5 9 78 31 69 388 665 1114 1321 1682 239 435 679
21019 459 244 664 5038 1523 1457 6 8 44 24 69 248 432 743 888 1284 197 314 601
20596 423 224 736 4503 1588 1494 18 9 43 30 56 245 451 695 815 1247 182 296 514
21445 412 223 632 4552 1632 1459 13 14 56 35 62 271 398 676 766 1339 204 326 520
52074 470 265 628 4898 1761 1726 7 11 69 44 63 297 439 763 900 1609 241 329 548
27713 529 298 684 6145 2607 2229 19 19 104 65 93 403 632 1005 1298 1970 310 464 733
25241 587 326 1074 6597 2571 2271 21 18 101 72 84 473 747 1221 1438 2747 358 530 819
23246 514 347 752 5590 1867 1706 20 22 93 68 83 375 579 1158 1246 2438 319 444 707
21201 621 347 887 6363 1730 1762 4 13 102 55 88 344 631 1113 1151 2433 232 422 706
20785 489 215 729 5633 1483 1310 16 16 90 40 60 309 478 877 864 2045 146 364 559
18168 602 253 834 5458 1647 1363 5 26 94 38 62 333 482 927 786 2132 177 344 623
17661 494 251 747 5328 1855 1276 9 23 105 32 50 257 431 805 739 2321 238 361 617
20327 534 272 707 5343 2238 1640 14 14 124 49 63 295 544 1137 1000 2405 315 454 629
23402 566 360 752 6445 2614 2154 15 28 163 45 79 430 623 1410 1305 2407 336 444 791
56638 716 353 826 7259 2279 2160 16 18 160 59 89 482 644 1513 1376 2211 287 477 876
31539 599 300 810 5376 1765 1394 10 13 156 35 69 327 484 1007 786 1460 196 313 562
27514 419 290 805 4908 1716 1275 29 24 110 33 82 298 399 801 709 1534 183 367 593
26301 408 245 831 4749 1918 1447 12 25 133 26 59 309 479 909 755 1514 170 332 503
25006 517 244 905 5107 2102 1469 21 23 129 31 57 339 434 878 854 1751 275 385 556
35618 532 257 803 5310 2519 1887 20 13 153 52 65 445 556 1184 1213 2005 321 481 671
41751 546 332 724 6628 2926 2535 11 21 171 63 118 549 902 1509 1386 2644 423 587 807
29774 685 376 736 7940 2484 2191 23 24 235 47 85 492 792 1545 1254 2552 319 497 801
27061 538 249 709 4876 2026 1798 14 8 169 21 64 331 563 1025 874 1937 230 348 557
